Topic No.,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,make,gt,hoe,red,bitch,life,bitch,would,bitch,hoe,like,bitch,tryna,ass,trash,bitch,pussi,hoe,bitch,xxx,bitch,yellow,get,bitch,ass
,hate,lol,http,blue,ass,amp,white,bird,fuck,want,good,shit,well,get,white,call,get,music,say,sex,littl,sole,one,get,bitch
,look,citi,lol,back,pussi,never,race,fag,pussi,charli,pussi,ass,say,go,redneck,thing,right,girl,nigga,ipad,got,black,got,like,go
,bad,degenerateartist,nigga,smith,hoe,man,new,trash,faggot,cop,bitch,yo,monkey,pussi,het,bad,shit,shut,blah,iphon,know,watch,good,alway,fuck
,dear,bar,peopl,ever,nicca,happen,color,faggot,make,fri,pussi,said,beat,nigga,thirsti,coon,ass,tom,noth,android,pussi,year,nigger,way,hoe
,dad,beer,bitch,case,think,jihadi,old,browni,ass,full,oreo,look,belong,bitch,van,big,cheat,big,get,porn,cool,mike,us,gotta,talk
,cute,way,wait,queen,tri,ignor,put,thank,bitch,mean,ill,man,name,yo,broke,think,need,call,money,pussi,nigger,decis,footbal,even,bout
,bust,pizza,right,home,birthday,monkey,trash,browni,son,hors,shit,lil,cuz,amp,gang,run,tell,better,got,hairi,straight,whole,nigger,want,lmao
,shake,nog,judg,pussi,away,annoy,said,lol,talk,chicken,nowplay,shit,pray,take,illeg,two,boy,know,dat,hairi,might,dumb,time,broke,nigger
,conserv,ok,femal,alex,happi,woof,twat,without,go,rice,everyday,kid,gay,bitch,bouta,could,ima,school,nicca,closeup,money,niggah,open,lil,wanna
,presid,faggot,probabl,random,bird,rescu,pick,text,come,yellow,claim,ass,us,let,ook,pussi,pom,coon,quick,tranni,mean,heat,stuck,tell,see
,south,etc,old,fawk,amp,pressur,move,air,dont,lil,fell,better,might,bitch,us,hour,that,uncl,day,anal,ppl,knock,alon,dem,like
,chanc,question,anti,polit,hoe,butt,delet,state,fag,hurt,wuxa,need,call,fuckin,niet,god,real,babi,em,tbt,bird,amp,realli,hoe,shit
,five,shi,follow,clearli,clam,starbuck,charli,watch,never,bean,thearrow,still,understand,twitter,fugli,head,drop,mad,outta,latina,give,yuh,leav,haha,nigga
,danc,beat,birthday,counti,lol,gouach,get,base,answer,cute,queer,tri,republican,shit,non,first,fight,money,without,fist,love,constantli,mind,ring,cuz
,club,everyon,love,mean,puss,tiki,kind,amaz,around,bitter,feel,shut,crash,hard,sole,yall,either,bird,long,paki,lol,bang,momma,new,hell
,pretti,sometim,browni,summer,type,trash,folk,first,mind,bitch,bruh,lol,yea,drink,weer,like,one,window,ugli,desi,talmbout,fake,bare,doh,said
,caught,fit,chick,ride,chillin,van,great,talk,need,sorri,dress,bring,listen,charli,robert,bird,ask,cook,media,japanes,yellow,sauc,redskin,funni,faggot
,joe,tranni,new,way,hungri,great,stand,welcom,walk,chees,lmao,fat,fact,get,rich,boob,idk,sweet,still,amateur,want,point,agre,dress,god
,bruh,club,chill,women,born,someth,bye,song,thought,land,bye,back,total,talk,molli,pleas,faggot,oreo,anim,tit,moan,problem,seri,scare,let
,newton,cours,lil,eye,garbag,hot,current,mutt,shut,ever,sayin,go,porn,real,bitch,ass,yeah,breakfast,blah,babe,weird,ugh,usual,relationship,call
,cam,definit,alreadi,niga,hell,fanboy,crippl,learn,man,fuckin,ahaha,gonna,shoot,without,paul,half,graham,boat,everyth,anal,sell,reason,togeth,dumb,creepi
,print,lemm,cheer,citi,draw,worker,typic,show,bad,breakfast,,retard,great,gonna,meet,sweet,choic,dawg,haha,latina,sum,nigguh,money,voic,ratchet
,niggaz,strong,teabagg,dogshit,nigguh,driver,cousin,pee,hipster,tweetin,,oh,kid,left,,shit,kitchen,thousand,littl,close,use,purpos,spank,car,word
,sasuk,nig,cali,chalmer,cracker,bench,dyke,saw,month,cuff,,fuck,let,cant,,never,word,countri,pass,wcw,ill,liber,two,banana,naw
,,huh,nobodi,commerci,wtf,,brain,stop,right,regardless,,want,bro,real,,voic,gave,worth,,preciou,easi,nfl,seriou,solo,dumb
,,baltimor,,smith,niggah,,add,clap,talk,,,pussi,forc,ride,,shit,girlfriend,rat,,oldyoung,town,none,make,alreadi,bitch
,,,,,home,,,,moment,,,nah,,,,return,gangster,mine,,,local,salti,,wine,
,,,,,took,,,,gonna,,,trash,,,,,,,,,,,,type,
